Element Symbol,symmetry,volume,Compounds
H,,,"['HW', 'KH', 'Pa3H', 'Na2HF4', 'NiH', 'Sr2HCl2', 'NaHS', 'HPd', 'Mn2HO4', 'KHS', 'YHO2', 'HI', 'SiH', 'MnH', 'HC6', 'Sr2HBr2', 'HC3', 'HC2N3', 'HCN', 'LiHF2', 'Pu3H', 'Al3H', 'HPt3', 'ZrH', 'HRh', 'HOs3', 'Re3H', 'Y3H', 'Ca2HI2', 'PrH', 'HIr', 'MnHO2', 'SmHO2', 'NbH', 'HN', 'CdH', 'EuHO3', 'HAuO2', 'RbH', 'Ti2HPd', 'CaHN', 'RbHO', 'Mg149H', 'CuHO2', 'Sr2HI2', 'CoHO2', 'MoH', 'Tc3H', 'H(CO)2', 'GaHO2', 'Si3H', 'TlH', 'NaHO', 'GdHO2', 'Np3H', 'ZnH', 'Ge3H', 'Yb3H', 'LiHPd', 'HNF2', 'LaHO2', 'HF', 'InH', 'NbHO3', 'MgNiH', 'PmH', 'AgH', 'MgH', 'Zr2HBr2', 'V2H', 'Tl3H', 'HoHO2', 'Ni2H', 'Eu3H', 'Mo2HO6', 'Ca2HBr2', 'HC', 'YbHO2', 'TbHO2', 'ErHO2', 'NaH', 'TlHO', 'LiHO2', 'Ca2HCl2', 'CuH', 'BeH', 'Ba2HBr2', 'BH', 'P3H', 'Ba3H', 'Sr3H', 'Ta2H', 'Cr3HO8', 'RbHS', 'Co3H', 'HPd3', 'HCO', 'GaH', 'ErH', 'Cr3H', 'HCl', 'TiH', 'Co4H', 'HW3', 'AlHO2', 'Fe3H', 'ScHO2', 'VH', 'Ti2H', 'HPb', 'Ba2HCl2', 'Mo3H', 'CsH', 'Ba2HI2', 'HC2', 'Cr2HO4', 'HBr', 'Ni3H', 'CrH', 'HI3', 'VHO3', 'FeH', 'Eu2HCl2', 'LiH', 'FeHO2', 'CoH', 'H(WO3)4']"
He,Im-3m,17.293960273317424,"['HeSiO2', 'He']"
Li,R-3m,61.205660097660434,"['LiSi3', 'LiW3', 'LiCu3', 'LiPu3', 'LiHg', 'LiAg', 'LiGe3', 'LiCe3', 'LiB3', 'LiTl3', 'LiAc3', 'LiNp3', 'Sr3Li', 'LiS4', 'LiBe', 'Rb3Li', 'LiAl2', 'LiO8', 'LiGa2', 'LiMg149', 'LiNi3', 'LiRh3', 'LiRh', 'LiEu3', 'LiGa3', 'LiAg3', 'LiSm3', 'LiPd', 'LiHf', 'LiSb3', 'LiC6', 'LiSn', 'LiDy3', 'LiLu3', 'LiO2', 'LiSn3', 'LiTm3', 'LiN', 'LiZn3', 'LiB', 'LiCa4', 'LiBi', 'LiEr3', 'LiMg15', 'LiBr', 'LiRe3', 'LiP', 'LiF', 'LiB9', 'LiPd7', 'LiHo3', 'LiGe', 'LiMg', 'LiN3', 'LiAs3', 'LiGd3', 'LiAl', 'LiPt7', 'LiMg7', 'LiAl3', 'LiMg2', 'LiMg5', 'LiTe3', 'LiIr', 'Li', 'LiI', 'LiP3', 'LiAu', 'Ba3Li', 'LiIn3', 'LiY3', 'LiHg3', 'LiCd3', 'LiC12', 'LiU', 'LiAs', 'LiAu3', 'LiPt', 'LiPa', 'LiMn', 'LiPt3', 'K3Li', 'LiPd3', 'LiP7', 'LiZn2', 'LiS', 'LiPb3', 'LiPb', 'LiLa3', 'LiB11', 'LiCa3', 'LiZn13', 'LiH', 'LiMg3', 'LiIn2', 'LiCl', 'LiTl', 'LiF3', 'LiYb3', 'LiPm3', 'LiPr3', 'LiTb3']"
Be,P6_3/mmc,31.796370288803224,"['K3Be', 'BeSnP2', 'ZrBeSi', 'BeSiP2', 'BeGe3', 'Be(B6C)2', 'BeSiNi2', 'ZrBeB', 'BeF2', 'BeO', 'BeFe3', 'BeCr3', 'BeZnS2', 'BeF4', 'LiBeN', 'Na2BeH4', 'BeZn3O4', 'BeTe', 'Na2BeO2', 'Li2BeAs2', 'Be(Bi3O5)4', 'Ta4Be', 'BeBr2', 'BeCN2', 'K2BeO2', 'Hf3Be', 'BePd3', 'Be(B3H7)2', 'LiBe', 'Be(BO2)4', 'BeH2', 'Li3Be', 'KBeH3', 'BeCl2', 'CeBeAl3', 'Mg16BeAl12', 'TmBeCu4', 'BeNi3', 'BeZn13', 'Be(CN)2', 'Be(GaO2)2', 'BeAg3', 'BePb3', 'CsBeH3', 'BeO2', 'Be(N3O7)2', 'TaBeB', 'Be', 'Be(BH4)2', 'BeAu2', 'NaBeSb', 'TiBeB', 'Li2BeF4', 'SmBeCu4', 'TbBeCu4', 'Ti4Be', 'Be(B3H8)2', 'Be(HO)2', 'Mg149Be', 'Na3Be', 'BeI2', 'K3BeF5', 'Na2BeF4', 'HoBeCu4', 'BeGeP2', 'BeCo2Ge', 'YBeCu4', 'DyBeCu4', 'BeRu3', 'LaBeAl3', 'BePd2', 'Th3Be', 'RbBeH3', 'LiBeAs', 'BeSiN2', 'Be(PN2)2', 'BeAl6O10', 'BeAlH5', 'K4BeAs2', 'Np3Be', 'Be(H2N)2', 'BeNF3', 'BeGeAs2', 'BeAl3', 'NaBeAs', 'LiBeSb', 'BeClO', 'BeAg4', 'BeSO8', 'HfBeSi', 'SrBeGe', 'Na6BeO4', 'SrBeF4', 'HfBe', 'BeC2', 'BeMo3', 'Cs2BeO2', 'BeZn3S4', 'K4BeP2', 'BeH', 'BeB2', 'BaBeSi', 'Mn3Be', 'SrBeSi', 'Ta2Be', 'BePd', 'BeRh', 'LiBeP', 'BeZnO2', 'KBeF3', 'BeSe', 'CaBeGe', 'BeGa3', 'TiBe', 'NdBeCu4', 'BeGaH5', 'BeAu3', 'BeNb4', 'Zr3Be', 'Ti3Be', 'BeCo2Si', 'BeP2', 'BeSiAs2', 'BeIn3', 'NaBeO2', 'CaBeSi', 'LiBeB', 'BeCrO4', 'BeS', 'BeSnAs2', 'BeNi', 'BeAu', 'BeCu', 'LiBeH3', 'Be(PO3)2', 'BeCo', 'Li2BeH4', 'Ti11BeO20']"
B,R-3m,86.74916330018324,"['BOs', 'Cr4B', 'CsB', 'Re3B', 'Ga3B', 'BPd5', 'BCl2', 'B', 'Ta2B', 'BiB', 'TaB', 'BMo2', 'CrB', 'BCl3', 'GeB', 'BRu', 'BH3', 'BPt2', 'BW2', 'RbB', 'Li2B', 'BAu3', 'BC', 'Co4B', 'BSb', 'Mg3B', 'ReB', 'BCl', 'BIr', 'Tc3B', 'BC5', 'SiB', 'BPt3', 'TcB', 'Fe3B', 'MnB', 'Li3B', 'BN', 'Si3B', 'BS2', 'BAu', 'Zn3B', 'BP', 'BPd6', 'KB', 'Be4B', 'Mg15B', 'Tl3B', 'LiB', 'CoB', 'BRu3', 'Th3B', 'BBr3', 'Co3B', 'NbB', 'Fe2B', 'BPt', 'PuB', 'In3B', 'BPb3', 'BMo', 'BF2', 'BW', 'Mg7B', 'BOs3', 'HfB', 'Ni3B', 'BO3', 'NiB', 'BC7', 'TiB', 'FeB', 'Mn2B', 'BBr', 'Np3B', 'BRh2', 'BH', 'BI3', 'VB', 'BF3', 'Mn4B', 'Cr2B', 'NaB', 'Ni2B', 'Hg3B', 'Be2B', 'BAs', 'SnB', 'Ti2B', 'Cd3B', 'Ge3B', 'ZrB', 'BPd4', 'BPd2', 'BSe2', 'Co2B', 'BC3', 'BPd3', 'Na3B', 'Sn3B', 'BRh']"
C,C2/m,18.32977894194205,"['LaC', 'CI2', 'Sm2C', 'CI4', 'NbC', 'CCl2', 'Sc2C', 'Fe2C', 'CS', 'Ta3C', 'Dy2C', 'Tc3C', 'Rb4C', 'NaC', 'TaC', 'B9C', 'Mg7C', 'BC', 'CS14', 'C', 'Zr3C', 'Mg15C', 'CBr4', 'CO3', 'Cr2C', 'Ni3C', 'Fe4C', 'RuC', 'GaC', 'K4C', 'KC', 'CrC', 'V2C', 'InC', 'Yb2C', 'CN2', 'CO', 'MoC', 'HgC', 'Y2C', 'TlC', 'PtC', 'Mo2C', 'WC', 'Lu2C', 'GeC', 'CdC', 'ReC', 'Hf3C', 'CS30', 'Fe3C', 'IrC', 'CS3', 'Tb2C', 'CO2', 'HC', 'Ta2C', 'SiC', 'OsC', 'B4C', 'ZrC', 'Hg3C', 'Nb2C', 'CN', 'PbC', 'HfC', 'Th5C', 'Ti2C', 'AgC', 'Mg3C', 'CF4', 'Zn3C', 'Tm2C', 'CF', 'W3C', 'W2C', 'AuC', 'Gd2C', 'CCl4', 'Ho2C', 'Er2C']"
N,,,"['Ti3N', 'Zr3N', 'ReN', 'CuN', 'Zr2N', 'Ca2N', 'Cu2N', 'LaN', 'NiN', 'NO3', 'IrN', 'InN', 'Zn3N', 'BrN', 'NO2', 'W2N', 'VN', 'PrN', 'TiN', 'Fe3N', 'Cr2N', 'ZrN', 'AgN', 'HN', 'CdN', 'BN', 'OsN', 'Sr2N', 'Nb2N', 'RuN', 'Mo2N', 'PdN', 'MoN', 'LiN', 'HgN', 'C3N', 'Fe8N', 'Eu2N', 'Ag3N', 'GaN', 'TaN', 'NO', 'SrN', 'S2N', 'Pd2N', 'TcN', 'V8N', 'Cu3N', 'Pd3N', 'TlN', 'Co3N', 'Tc3N', 'MnN', 'Ni3N', 'NbN', 'B9N', 'Ta2N', 'ZnN', 'V2N', 'NF', 'FeN', 'KN', 'Fe2N', 'SeN', 'YN', 'SN', 'Re3N', 'Ta3N', 'Ti2N', 'AcN', 'RhN', 'Hf2N', 'Mn2N', 'CN', 'Na3N', 'WN', 'Ba2N', 'Fe4N', 'CrN', 'NF2', 'PbN', 'SbN', 'AlN']"
O,,,"['BrO', 'CaO', 'Ti2O', 'Ge3O', 'NiO', 'N2O', 'OF3', 'Zr2O', 'CoO', 'BeO', 'SiO', 'NbO', 'PdO', 'GaO', 'MgO', 'FeO', 'B8O', 'ZnO', 'Ag2O', 'BiO', 'ClO', 'Zr4O', 'CuO', 'AgO', 'Li2O', 'V8O', 'Rb6O', 'SnO', 'MnO', 'Na2O', 'B6O', 'Al2O', 'TiO', 'CO', 'Sm2O', 'Th3O', 'PtO', 'CrO', 'CdO', 'Ag3O', 'Ta6O', 'Ti3O', 'Si3O', 'Tl2O', 'Ta4O', 'Zr3O', 'Cl2O', 'Cr3O', 'BaO', 'Cs2O', 'OF', 'B2O', 'InO', 'HgO', 'PbO', 'Ti6O', 'Cs7O', 'Sn2O', 'Cs3O', 'Rb2O', 'K2O', 'VO', 'H2O', 'NO']"
F,,,"['CaF', 'FeOF', 'N2F', 'Sm2Cl2F', 'MnOF', 'CrOF', 'TbOF', 'Tb2S2F', 'YOF', 'Er2S2F', 'Ir3F', 'SbOF', 'Ba2Br2F', 'Tm2I2F', 'Rh3F', 'Ba2Cl2F', 'SNF', 'Tm2Br2F', 'Mn4O7F', 'VO2F', 'LaF', 'Mn5O9F', 'Bi5O7F', 'V3F', 'Re3F', 'Ca10Ge6F', 'Co2O3F', 'Dy2S2F', 'Ca2F', 'V3O5F', 'Nd2S2F', 'Ge3F', 'Hg3F', 'V2O3F', 'Fe6O11F', 'InOF', 'YbF', 'Pr2S2F', 'Sr2Br2F', 'Ag3F', 'La2S2F', 'HgF', 'Fe10O19F', 'Fe3O5F', 'Sr2I2F', 'Os3F', 'CuF', 'Ba2I2F', 'Fe4O7F', 'LiF', 'HF', 'Y2S2F', 'TiNF', 'KF', 'NaF', 'BiOF', 'Sm2Br2F', 'Fe2O3F', 'Pt3F', 'CoOF', 'CsF', 'Eu2Cl2F', 'Ag2F', 'Tl3F', 'Sb5O7F', 'NF', 'VOF', 'Ho2S2F', 'Ca10Si6F', 'TlF', 'V6O11F', 'Co3O5F', 'AgO2F', 'Mn2O3F', 'Pd3F', 'Y2OF', 'Bi3O4F', 'Ca2Cl2F', 'SrF', 'NiOF', 'C2F', 'ClF', 'Eu2Br2F', 'Pr2Se2F', 'Sm2I2F', 'Sm2Se2F', 'Ru3F', 'RbF', 'Yb2I2F', 'AgF', 'CF', 'Sm2F', 'Ca2Br2F', 'Fe3F', 'Mn3O5F', 'Sr2Cl2F', 'Mn6O11F', 'YSeF', 'OF', 'Si3F', 'RbO2F', 'Cu3F', 'UF']"
Ne,Fm-3m,18.456187514358387,['Ne']
